id,listing_url,longitude,latitude,guest_num,room_type,price,instant_bookable,bedrooms,beds,bathrooms,superhost,pet_allowed,event_allowed,smoking_allowed,Free_parking,Family_kid_friendly,Washer,Hangers,Lock_on_bedroom_door,Wireless_Internet,Laptop_friendly_workspace,TV,Shampoo,Self_Check_in,Heating,Hair_dryer,Indoor_fireplace,Dryer,Iron,Breakfast,Doorman,Buzzer_wireless_intercom,Air_conditioning,Pool,Kitchen,crime_count
14726041,https://www.airbnb.com/rooms/14726041,-79.40570099400614,43.71041700421289,8,Entire home/apt,200.0,f,4,4,2.0,f,1,1,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1
1652086,https://www.airbnb.com/rooms/1652086,-79.4053232261738,43.705246850292454,4,Private room,119.0,f,1,2,1.0,f,1,1,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,8
3290328,https://www.airbnb.com/rooms/3290328,-79.40984506215297,43.708235782105426,2,Private room,41.0,f,1,1,1.0,t,1,1,1,1,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,6
15971790,https://www.airbnb.com/rooms/15971790,-79.40207939527761,43.69970432508767,2,Entire home/apt,50.0,f,0,1,1.0,f,1,1,1,0,0,1,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,1,1,1,1
8858408,https://www.airbnb.com/rooms/8858408,-79.39941661045958,43.71064553734351,2,Entire home/apt,200.0,f,1,1,1.0,f,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,3
8994553,https://www.airbnb.com/rooms/8994553,-79.40102120959621,43.70834672596895,4,Entire home/apt,105.0,f,1,2,1.0,f,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,9
12655649,https://www.airbnb.com/rooms/12655649,-79.40534478057526,43.71051479668394,4,Entire home/apt,88.0,f,3,3,1.5,f,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1
16652894,https://www.airbnb.com/rooms/16652894,-79.40605525433298,43.70243247299003,4,Entire home/apt,159.0,f,2,2,1.0,f,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,0
10032578,https://www.airbnb.com/rooms/10032578,-79.40645773237596,43.70481851844772,3,Private room,88.0,f,1,2,1.0,f,1,1,1,0,0,1,1,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,3
13408571,https://www.airbnb.com/rooms/13408571,-79.40854696090062,43.70629442478533,2,Private room,162.0,f,1,1,1.0,f,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0
3937405,https://www.airbnb.com/rooms/3937405,-79.40238188111456,43.70146662979565,2,Private room,109.0,t,1,1,1.0,f,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,1
15996588,https://www.airbnb.com/rooms/15996588,-79.39920662735527,43.707290395430746,2,Entire home/apt,120.0,f,1,1,1.0,f,1,1,1,1,0,1,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,1,1,41
1609963,https://www.airbnb.com/rooms/1609963,-79.40516170345045,43.704686373969146,2,Private room,89.0,f,1,1,1.0,f,1,1,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,1,0,1,8
10392319,https://www.airbnb.com/rooms/10392319,-79.40012494431721,43.70756686768277,4,Entire home/apt,100.0,f,1,1,1.0,f,0,0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0,1,1,4
6745415,https://www.airbnb.com/rooms/6745415,-79.39904593104896,43.70943149292992,2,Entire home/apt,89.0,f,0,1,1.0,f,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,9
18387553,https://www.airbnb.com/rooms/18387553,-79.40767038314884,43.70285887070675,2,Private room,65.0,f,1,1,1.0,f,1,0,0,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0
6785350,https://www.airbnb.com/rooms/6785350,-79.40104274609317,43.70626470652911,3,Entire home/apt,95.0,f,1,2,1.0,f,1,1,1,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,10
7146096,https://www.airbnb.com/rooms/7146096,-79.40624368621323,43.706027477225476,4,Entire home/apt,241.0,f,2,2,1.0,f,1,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,4
16123387,https://www.airbnb.com/rooms/16123387,-79.4001143693082,43.70693589691309,2,Entire home/apt,111.0,f,1,1,1.0,f,1,1,0,0,0,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,0,1,0,1,8
8650822,https://www.airbnb.com/rooms/8650822,-79.40014395140909,43.71008740498019,2,Entire home/apt,100.0,f,1,1,1.0,f,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,10
10839190,https://www.airbnb.com/rooms/10839190,-79.45879273954371,43.67044278922175,2,Private room,65.0,f,1,1,1.0,f,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,1,0,1,3
13156332,https://www.airbnb.com/rooms/13156332,-79.45991619179955,43.670791176269645,2,Private room,31.0,f,1,1,2.0,t,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,1,2
17029550,https://www.airbnb.com/rooms/17029550,-79.46160774057665,43.67232043582492,2,Private room,50.0,f,1,1,2.0,f,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,1,0,1,0
9113658,https://www.airbnb.com/rooms/9113658,-79.45434726060381,43.673015735413934,1,Private room,30.0,f,1,1,1.0,f,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,1,0,0,0,1,0,1,1
9996848,https://www.airbnb.com/rooms/9996848,-79.46081970908203,43.677009276301106,2,Private room,28.0,f,1,1,1.0,f,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,0
16415437,https://www.airbnb.com/rooms/16415437,-79.45800803940242,43.67056564303189,2,Private room,35.0,f,1,1,2.0,t,1,0,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0,1,12
10862232,https://www.airbnb.com/rooms/10862232,-79.46081550903172,43.67921646333127,2,Private room,26.0,f,1,1,1.0,f,1,0,0,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,5
11115052,https://www.airbnb.com/rooms/11115052,-79.4629160108825,43.677709266057455,2,Private room,30.0,f,1,1,1.0,f,1,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,5
7873452,https://www.airbnb.com/rooms/7873452,-79.45065961720582,43.67011742778264,2,Private room,76.0,f,1,1,1.0,f,1,0,1,1,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
15720960,https://www.airbnb.com/rooms/15720960,-79.45773044222646,43.6694530520094,2,Private room,41.0,t,1,2,1.0,f,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29
17122830,https://www.airbnb.com/rooms/17122830,-79.4587007167303,43.669694670738494,2,Private room,49.0,f,1,1,1.0,f,1,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,18
18510147,https://www.airbnb.com/rooms/18510147,-79.45704876376928,43.667291498754665,2,Private room,32.0,f,1,1,2.0,f,1,1,1,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,3
16661652,https://www.airbnb.com/rooms/16661652,-79.46316032494305,43.67083510721526,2,Private room,46.0,t,2,2,1.5,f,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0
9715990,https://www.airbnb.com/rooms/9715990,-79.45559119044944,43.671533450977535,2,Private room,65.0,f,1,1,1.5,f,0,1,0,1,0,1,1,0,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0
14120151,https://www.airbnb.com/rooms/14120151,-79.46070413309211,43.677492669646995,2,Private room,286.0,f,1,1,1.0,f,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,1,0
2656116,https://www.airbnb.com/rooms/2656116,-79.4558074923287,43.669739095883166,2,Entire home/apt,95.0,f,1,1,1.0,f,1,1,0,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0,0,0,1,0,1,2
7694454,https://www.airbnb.com/rooms/7694454,-79.46089267148936,43.67910806301022,2,Entire home/apt,70.0,f,1,1,1.0,t,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,5
5226568,https://www.airbnb.com/rooms/5226568,-79.45790069070954,43.67220344336293,6,Entire home/apt,195.0,f,3,4,1.0,f,1,1,0,0,1,1,1,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1
